danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
0.647,0.933,7,-4.056,1,0.111,0.000351,0.00277,0.334,0.332,119.921,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,235107
0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,spotify:track:09TcIuH1ZO7i4vicWKoaN2,232147
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,spotify:track:1TfqLAPs4K3s2rJMoCokcS,216933
0.327,0.895,9,-7.428,1,0.0367,0.000564,0.0159,0.104,0.898,169.39,spotify:track:3w2GGz0HjIu9OcWXINRFJR,219800
0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,177685
0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,spotify:track:36pLU2ywVeBKEF0rrKtmCB,222200
0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,spotify:track:0BBZuOGGBj9u4X3rAfmae8,201000
0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,spotify:track:1obZSxOoO12yWkwY1kY72N,229507
0.5,0.892,2,-4.714,0,0.0433,0.00445,0.000422,0.0969,0.233,126.019,spotify:track:1a1r5s7ivXUVQQrIvo5VSs,239894
0.763,0.653,5,-5.05,0,0.149,0.00876,5.46e-06,0.0854,0.477,130.025,spotify:track:1mz9ZrRYu3EPVg9ZHFtjjf,240907
0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,spotify:track:2EBCVPNAG46nbgs6jXPGvv,210627
0.75,0.756,1,-4.45,1,0.0426,0.0187,0.00125,0.196,0.6,127.992,spotify:track:1gYMxXXGANfGIGXDFf9Czv,215227
0.682,0.714,9,-6.306,1,0.0399,0.074,0.0,0.278,0.581,127.443,spotify:track:0sooJd5WbNnnz5k6yO7FIQ,214148
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,spotify:track:6mnjcTmK8TewHfyOp3fC9C,211920
0.488,0.538,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.037,spotify:track:0wJJhRgdHhT93Z3iWdMB0T,205600
0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,spotify:track:2GgxS8bUT5G25QJTsfSv0R,231212
0.673,0.853,1,-6.451,1,0.038,0.00171,0.724,0.39,0.0382,128.015,spotify:track:28GieRAflAHypFfEimSaxa,303827
0.653,0.822,0,-4.857,1,0.033,0.00021,0.0047,0.0838,0.762,117.949,spotify:track:6BnONjR7itGMEqwxKTIlRM,192790
0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,spotify:track:0JhKJg5ejeQ8jq89UQtnw8,199904
0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,spotify:track:0TDLuuLlV54CkRRUOahJb4,245040
0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,spotify:track:5HuqzFfq2ulY1iBAW5CxLe,227833
0.712,0.957,0,-1.923,1,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,spotify:track:4jay2G7QI61dlPd8qKy5BP,187507
0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,spotify:track:5GjnIpUlLGEIYk052ISOw9,204360
0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,spotify:track:55h7vJchibLdUkxdlX3fK7,178560
0.692,0.865,8,-4.939,1,0.0548,0.385,0.0,0.106,0.62,124.987,spotify:track:1mATmqAUKqG57iWjGE1nRa,234809
0.589,0.966,11,-4.106,1,0.098,0.0305,0.0,0.147,0.803,129.984,spotify:track:3tgZ9vmhuAY9wEoNUJskzV,204200
0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,spotify:track:4ot2lykiAQeZC1GAnNQNJ4,226987
0.6,0.905,1,-3.41,0,0.0357,0.00274,0.0,0.831,0.636,124.032,spotify:track:15iosIuxC3C53BgsM5Uggs,187027
0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,204640
0.636,0.436,7,-9.524,1,0.139,0.112,0.0,0.135,0.331,84.804,spotify:track:3yvZ1VUso9Xi7EvIyLaj4o,190185
0.696,0.896,0,-6.049,1,0.109,0.0834,0.0,0.038,0.887,130.091,spotify:track:1Ozm60BmF5AUjqVSb9FJRC,199333
0.705,0.897,2,-2.988,0,0.035,0.0783,3.24e-06,0.202,0.534,133.013,spotify:track:1a5XzsdDDWR7HMwvmXtNlB,178280
0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,spotify:track:6xCNYRfzZtoQRo1xruPmNq,193920
0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,spotify:track:2Zj4FUsMtu9PMuJsHbGbdv,212333
0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,212560
0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,spotify:track:3w3y8KPTfNeOKPiqUTakBh,233478
0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,spotify:track:1SgdUjvppHnIp6L7DZSnwc,222500
0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,spotify:track:1rhXXcrYp9RRObN5gsmqCU,157153
0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008,spotify:track:3raIDwS1IWxjBq48cE4E8h,185587
