name,artist,uri,year,popularity,explicit
D.A.N.C.E,['Justice'],spotify:track:33yAEqzKXexYM3WlOYtTfQ,2007,63,False
"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)","['""Weird Al"" Yankovic']",spotify:track:60R2v9lheAu3lwZwAFxMZK,2006,53,False
Goliath,['Smith & Thell'],spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,2020,58,False
L'Empordà,['Sopa De Cabra'],spotify:track:1vzugDTXDgZCF0QQrzB5hX,2010,42,False
House of the Rising Sun,['The Animals'],spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,1987,72,False
A Horse with No Name,"['America', 'George Martin']",spotify:track:54eZmuggBFJbV7k248bTTt,1972,75,False
In The End,['Stay Homas'],spotify:track:4PrYq1x0pv5WSMCiy6rp9o,2020,50,False
Washington Square,"['Chinese Man', 'Bionic Man Sound']",spotify:track:0phAx12SI8oWN1AmhyceSQ,2007,51,False
America!,['Bill Callahan'],spotify:track:0cfwv1fgLrFntNR9aUgY5I,2011,0,False
Moon,['Kid Francescoli'],spotify:track:0Nc1rZEB2tZLgpxw5nkpEu,2017,0,False
Ophelia,['The Lumineers'],spotify:track:5NORWMFC27ywGSZxi8uquP,2016,78,False
Sweet Wanomi,['Bill Withers'],spotify:track:0vJ3Y2MnDXi4hpxSeQdQEC,1971,45,False
Take Me To Church,['Hozier'],spotify:track:3dYD57lRAUcMHufyqn9GcI,2014,81,False
Saturday Sun,['Vance Joy'],spotify:track:2RiBogNRfulkNf7fVbPOrJ,2018,70,False
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",spotify:track:2Foc5Q5nqNiosCNqttzHof,2013,76,False
Seve - Radio Edit,['Tez Cadey'],spotify:track:6UqRGwjwYL0stXbaodTxwo,2015,69,False
Sober,['Lorde'],spotify:track:7eElVgPcxDqmgGrSwVFI74,2017,58,True
Everybody Wants To Rule The World,['Tears For Fears'],spotify:track:4RvWPyQ5RL0ao9LPZeSouE,1985,81,False
Soy un pringao,['Santiuve'],spotify:track:1FeCQhO1BNOHOuwEnz1rCd,2019,32,False
The Barrel,['Aldous Harding'],spotify:track:3s71tbgmSN9TfJLj4D18Mt,2019,22,False
Weight of Sound,"['Stick Figure', ""TJ O'Neill""]",spotify:track:3W4x7fZhMHw2pE6wyBzzF8,2012,58,False
Play For Today,['Belle & Sebastian'],spotify:track:1100lvvYze9COk2GeZRRWs,2015,26,False
Redbone,['Childish Gambino'],spotify:track:0wXuerDYiBnERgIpbb3JBR,2016,81,True
Building Steam With A Grain Of Salt,['DJ Shadow'],spotify:track:4cucslsiEgezV2o900Ykg3,1996,52,True
The Sensual Woman,['The Herbaliser'],spotify:track:31U21fwH5izi4fVA2f1HKa,1999,50,False
Never Come Back,['Caribou'],spotify:track:7IBrKDuBlyz3vW9JFCux10,2020,0,False
"You're the One - From ""I Lost My Body""",['S+C+A+R+R'],spotify:track:5Tnx4R7Gwj1LZsfssfzchh,2019,39,False
Blackbird,"[""Fat Freddy's Drop""]",spotify:track:3oSnMDaL0WsWyp2Gy80ulq,2013,46,False
What It Is,['Mark Knopfler'],spotify:track:65f8Ca4HbZCMLhpZPTHW4O,2000,60,False
Honey,['Robyn'],spotify:track:2JJw0uh08pNLYzFzBUAX8Y,2018,45,False
Can I Kick It?,['A Tribe Called Quest'],spotify:track:3Ti0GdlrotgwsAVBBugv0I,1990,69,False
Damage Done,['Moderat'],spotify:track:4zZN2PdZeGy3gBNItiVogT,2013,33,False
Russia - Nightmares on Wax Remix,"[""Fat Freddy's Drop"", 'Nightmares On Wax']",spotify:track:6fXznH7uiIWOs53BwRtgPz,2019,40,False
Boondigga,"[""Fat Freddy's Drop""]",spotify:track:7boSWvPaujwAgEsgrmMVg2,2009,36,False
Hoy Ya No Soy Yo,"['Gustavo Cerati', 'Daniel Melero']",spotify:track:0AxlHaQceaVwGXGCEfydF6,1992,1,False
Americans,['Janelle Monáe'],spotify:track:5KE6acpiakjqiIskbWVfxB,2018,41,True
Pictures of Matchstick Men - Mono Version,['Status Quo'],spotify:track:0MRs5O62wfDgf5cQKalrPq,1968,51,False
"Avança, vianant",['Manel'],spotify:track:50idfHzEgqKnFfaN2oYu5n,2016,24,False
Mad Bad Cat,['17 Hippies'],spotify:track:0Odt7SrSnwy05t5TNaEu1F,2006,3,False
Morning from 'Peer Gynt',"['Edvard Grieg', 'Various Artists']",spotify:track:4WGHQuR8gGRjAd5OjrqRHf,2006,0,False
Kisses Back,['Anthony Keyrouz'],spotify:track:6uzwiQa5FkiiHLyt7ENYc6,2020,52,False
Better Together,['Jack Johnson'],spotify:track:0rkzM1FJh4xWCTF1NwDGYN,2005,0,False
Dust,"['Matt Simons', 'Betty Who']",spotify:track:0gp6wPoPamLLwYup5Rimba,2019,54,True
Guns Are Drawn,"['The Roots', 'Son Little']",spotify:track:76tWml55YabjLsNPRwUfEF,2004,49,False
The Seed (2.0),"['The Roots', 'Cody Chesnutt']",spotify:track:1a6Jt6USVGKzbjYpcKMwPB,2002,61,True
Kathy's Waltz,['The Dave Brubeck Quartet'],spotify:track:3XfaSRXfGuWT1rrn9lWx30,1959,43,False
"My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix","['The Roots', 'Busta Rhymes', 'Joell Ortiz', 'Nate Ruess']",spotify:track:3ak8BzpcrFeLfiQnrmR5wJ,2016,39,False
Weird Fishes/ Arpeggi,['Radiohead'],spotify:track:4Iyo50UoYhuuYORMLrGDci,2007,39,False
House Of Cards,['Radiohead'],spotify:track:3Jc6X15OZCCyhGSHBF4hwB,2007,36,False
Johnny B. Goode,['Chuck Berry'],spotify:track:2QfiRTz5Yc8DdShCxG1tB2,1959,74,False
Seven Nation Army,['The White Stripes'],spotify:track:3dPQuX8Gs42Y7b454ybpMR,2003,81,False
