name,artist_1,artist_2,uri,year,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Wild Strawberries,PNAU,,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,2009,0,False,235107,0.647,0.933,7,-4.056,1,0.111,0.000351,0.00277,0.334,0.332,119.921
Papaoutai,Stromae,,spotify:track:09TcIuH1ZO7i4vicWKoaN2,2013,0,False,232147,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,Annie Lennox,spotify:track:1TfqLAPs4K3s2rJMoCokcS,1983,79,False,216933,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135
Rock and Roll - 1990 Remaster,Led Zeppelin,,spotify:track:3w2GGz0HjIu9OcWXINRFJR,1971,56,False,219800,0.327,0.895,9,-7.428,1,0.0367,0.000564,0.0159,0.104,0.898,169.39
Talk Dirty (feat. 2 Chainz),Jason Derulo,2 Chainz,spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,2013,54,True,177685,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315
La La La,Naughty Boy,Sam Smith,spotify:track:36pLU2ywVeBKEF0rrKtmCB,2014,59,False,222200,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082
Play Hard (feat. Ne-Yo & Akon),David Guetta,,spotify:track:0BBZuOGGBj9u4X3rAfmae8,2011,53,False,201000,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072
Feel This Moment (feat. Christina Aguilera),Pitbull,Christina Aguilera,spotify:track:1obZSxOoO12yWkwY1kY72N,2012,51,False,229507,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956
Love Me Again,John Newman,,spotify:track:1a1r5s7ivXUVQQrIvo5VSs,2013,0,False,239894,0.5,0.892,2,-4.714,0,0.0433,0.00445,0.000422,0.0969,0.233,126.019
A Little Party Never Killed Nobody (All We Got),Fergie,Q-Tip,spotify:track:1mz9ZrRYu3EPVg9ZHFtjjf,2013,55,False,240907,0.763,0.653,5,-5.05,0,0.149,0.00876,5.46e-06,0.0854,0.477,130.025
