name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Walking Away,Craig David,,spotify:track:3R7fjB38qajI6JR69y5k4e,204867,0.596,0.686,9,-6.371,0,0.0345,0.196,0.0,0.121,0.815,172.835
Hotel California - 2013 Remaster,Eagles,,spotify:track:40riOy7x9W7GXjyGp4pjAv,391376,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
I'm On Fire,Bruce Springsteen,,spotify:track:3PzsbWSQdLCKDLxn7YZfkM,155880,0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591
D.A.N.C.E,Justice,,spotify:track:33yAEqzKXexYM3WlOYtTfQ,242267,0.613,0.962,6,-5.07,0,0.278,0.034,0.0,0.824,0.496,113.015
"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)","""Weird Al"" Yankovic",,spotify:track:60R2v9lheAu3lwZwAFxMZK,170640,0.791,0.613,1,-11.628,0,0.0763,0.0986,0.0,0.0765,0.896,143.017
Goliath,Smith & Thell,,spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,204759,0.528,0.833,9,-6.19,1,0.0514,0.000414,1.23e-06,0.068,0.46,127.998
L'Empordà,Sopa De Cabra,,spotify:track:1vzugDTXDgZCF0QQrzB5hX,159333,0.681,0.837,4,-8.907,1,0.041,0.0362,1.57e-06,0.0986,0.959,143.472
House of the Rising Sun,The Animals,,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,269907,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363
A Horse with No Name,America,George Martin,spotify:track:54eZmuggBFJbV7k248bTTt,252240,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179
In The End,Stay Homas,,spotify:track:4PrYq1x0pv5WSMCiy6rp9o,141493,0.763,0.719,5,-5.862,1,0.0712,0.0865,0.0,0.0935,0.85,146.977
Washington Square,Chinese Man,Bionic Man Sound,spotify:track:0phAx12SI8oWN1AmhyceSQ,250600,0.676,0.751,4,-6.985,0,0.0845,0.38,0.0,0.102,0.758,89.041
America!,Bill Callahan,,spotify:track:0cfwv1fgLrFntNR9aUgY5I,333093,0.594,0.468,2,-11.39,0,0.0492,0.0128,0.121,0.0714,0.678,107.482
Moon,Kid Francescoli,,spotify:track:0Nc1rZEB2tZLgpxw5nkpEu,390639,0.663,0.658,2,-10.001,1,0.0345,0.295,0.867,0.102,0.0532,117.986
Ophelia,The Lumineers,,spotify:track:5NORWMFC27ywGSZxi8uquP,160097,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023
Sweet Wanomi,Bill Withers,,spotify:track:0vJ3Y2MnDXi4hpxSeQdQEC,152773,0.757,0.333,9,-11.706,1,0.0293,0.684,0.205,0.106,0.928,95.582
Take Me To Church,Hozier,,spotify:track:3dYD57lRAUcMHufyqn9GcI,241688,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945
Saturday Sun,Vance Joy,,spotify:track:2RiBogNRfulkNf7fVbPOrJ,214720,0.637,0.864,8,-4.381,1,0.0468,0.484,0.0,0.222,0.706,99.995
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Pharrell Williams,spotify:track:2Foc5Q5nqNiosCNqttzHof,248413,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047
Seve - Radio Edit,Tez Cadey,,spotify:track:6UqRGwjwYL0stXbaodTxwo,210853,0.74,0.831,5,-7.321,1,0.0456,0.444,0.00304,0.0769,0.448,121.034
Sober,Lorde,,spotify:track:7eElVgPcxDqmgGrSwVFI74,197236,0.796,0.467,6,-10.369,1,0.181,0.173,0.00411,0.126,0.516,107.901
Everybody Wants To Rule The World,Tears For Fears,,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,251489,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
Soy un pringao,Santiuve,,spotify:track:1FeCQhO1BNOHOuwEnz1rCd,180819,0.907,0.244,5,-9.178,1,0.292,0.958,4.25e-06,0.0981,0.824,139.84
The Barrel,Aldous Harding,,spotify:track:3s71tbgmSN9TfJLj4D18Mt,299440,0.732,0.408,11,-8.475,1,0.036,0.747,0.000229,0.069,0.663,87.016
Weight of Sound,Stick Figure,TJ O'Neill,spotify:track:3W4x7fZhMHw2pE6wyBzzF8,443380,0.857,0.713,6,-7.327,1,0.0354,0.0665,0.0279,0.0748,0.869,141.994
Play For Today,Belle & Sebastian,,spotify:track:1100lvvYze9COk2GeZRRWs,453116,0.493,0.764,0,-7.885,1,0.0573,0.147,0.0078,0.294,0.521,124.885
Redbone,Childish Gambino,,spotify:track:0wXuerDYiBnERgIpbb3JBR,326933,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143
Building Steam With A Grain Of Salt,DJ Shadow,,spotify:track:4cucslsiEgezV2o900Ykg3,399027,0.613,0.832,8,-9.187,1,0.0281,0.388,0.95,0.0865,0.48,164.876
The Sensual Woman,The Herbaliser,,spotify:track:31U21fwH5izi4fVA2f1HKa,216001,0.781,0.18,1,-9.52,1,0.0719,0.0475,0.923,0.229,0.189,89.994
Never Come Back,Caribou,,spotify:track:7IBrKDuBlyz3vW9JFCux10,305480,0.776,0.684,5,-8.934,1,0.0367,0.405,0.559,0.0663,0.655,127.979
"You're the One - From ""I Lost My Body""",S+C+A+R+R,,spotify:track:5Tnx4R7Gwj1LZsfssfzchh,167987,0.535,0.724,5,-9.905,1,0.0618,0.202,0.901,0.0983,0.37,159.948
Blackbird,Fat Freddy's Drop,,spotify:track:3oSnMDaL0WsWyp2Gy80ulq,567459,0.72,0.791,7,-6.902,0,0.0361,0.0377,0.73,0.504,0.535,95.01
What It Is,Mark Knopfler,,spotify:track:65f8Ca4HbZCMLhpZPTHW4O,295893,0.624,0.682,6,-7.274,0,0.0302,0.615,0.252,0.288,0.432,122.084
Honey,Robyn,,spotify:track:2JJw0uh08pNLYzFzBUAX8Y,294003,0.652,0.604,11,-8.666,0,0.101,0.0179,0.000589,0.119,0.068,115.953
Can I Kick It?,A Tribe Called Quest,,spotify:track:3Ti0GdlrotgwsAVBBugv0I,251573,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662
Damage Done,Moderat,,spotify:track:4zZN2PdZeGy3gBNItiVogT,326280,0.301,0.309,11,-16.372,0,0.0407,0.778,0.768,0.128,0.0702,107.634
Russia - Nightmares on Wax Remix,Fat Freddy's Drop,Nightmares On Wax,spotify:track:6fXznH7uiIWOs53BwRtgPz,470077,0.793,0.72,11,-9.904,0,0.0535,0.00154,0.506,0.419,0.366,120.004
Boondigga,Fat Freddy's Drop,,spotify:track:7boSWvPaujwAgEsgrmMVg2,358200,0.726,0.447,11,-9.803,0,0.026,0.0588,0.343,0.0968,0.758,108.868
Hoy Ya No Soy Yo,Gustavo Cerati,Daniel Melero,spotify:track:0AxlHaQceaVwGXGCEfydF6,248573,0.643,0.637,7,-14.007,1,0.0289,0.00198,0.11,0.0378,0.961,115.961
Americans,Janelle Monáe,,spotify:track:5KE6acpiakjqiIskbWVfxB,246357,0.73,0.766,9,-6.213,1,0.0475,0.00389,0.0482,0.0829,0.14,100.017
Pictures of Matchstick Men - Mono Version,Status Quo,,spotify:track:0MRs5O62wfDgf5cQKalrPq,190600,0.241,0.604,7,-3.817,1,0.0313,0.0672,4.98e-05,0.0541,0.417,173.134
"Avança, vianant",Manel,,spotify:track:50idfHzEgqKnFfaN2oYu5n,338194,0.687,0.63,9,-7.406,1,0.0297,0.0224,0.146,0.0854,0.579,118.004
Mad Bad Cat,17 Hippies,,spotify:track:0Odt7SrSnwy05t5TNaEu1F,197907,0.448,0.457,0,-9.665,0,0.0304,0.557,0.000848,0.996,0.88,90.039
Morning from 'Peer Gynt',Edvard Grieg,Various Artists,spotify:track:4WGHQuR8gGRjAd5OjrqRHf,237960,0.159,0.0702,3,-18.946,1,0.0416,0.988,0.923,0.16,0.0349,141.409
Kisses Back,Anthony Keyrouz,,spotify:track:6uzwiQa5FkiiHLyt7ENYc6,222630,0.788,0.63,4,-8.397,0,0.0331,0.255,2.08e-06,0.0828,0.755,123.984
Better Together,Jack Johnson,,spotify:track:0rkzM1FJh4xWCTF1NwDGYN,207680,0.868,0.347,5,-9.529,1,0.0536,0.308,2e-05,0.11,0.659,110.059
Dust,Matt Simons,Betty Who,spotify:track:0gp6wPoPamLLwYup5Rimba,198480,0.659,0.588,1,-9.905,1,0.0469,0.151,0.000231,0.0918,0.574,92.037
Guns Are Drawn,The Roots,Son Little,spotify:track:76tWml55YabjLsNPRwUfEF,315787,0.933,0.642,0,-4.012,1,0.167,0.0598,7.44e-06,0.096,0.701,97.123
The Seed (2.0),The Roots,Cody Chesnutt,spotify:track:1a6Jt6USVGKzbjYpcKMwPB,267933,0.758,0.957,7,-2.282,1,0.0357,0.039,0.0,0.133,0.966,111.119
Kathy's Waltz,The Dave Brubeck Quartet,,spotify:track:3XfaSRXfGuWT1rrn9lWx30,287840,0.484,0.151,0,-18.622,0,0.0378,0.88,0.178,0.115,0.399,94.587
"My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix",The Roots,Busta Rhymes,spotify:track:3ak8BzpcrFeLfiQnrmR5wJ,270748,0.578,0.965,10,-4.788,1,0.328,0.107,0.0,0.0984,0.456,94.076
Weird Fishes/ Arpeggi,Radiohead,,spotify:track:4Iyo50UoYhuuYORMLrGDci,318187,0.538,0.61,11,-8.027,0,0.0392,0.774,0.749,0.0909,0.199,152.999
House Of Cards,Radiohead,,spotify:track:3Jc6X15OZCCyhGSHBF4hwB,328293,0.71,0.496,5,-9.638,1,0.0297,0.278,0.581,0.101,0.637,111.662
Johnny B. Goode,Chuck Berry,,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,161560,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983
Seven Nation Army,The White Stripes,,spotify:track:3dPQuX8Gs42Y7b454ybpMR,231733,0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881
